time_s,P_drive_W,P_hvac_W,P_chiller_W,P_to_LFP_W,P_to_LTO_W,T_LFP_C,T_LTO_C,SoC_LFP,SoC_LTO
37.75,9405.809558810255,3126.826066686702,0.0,7282.635625496958,5250.0,30.352384513792455,30.5838928242139,0.5500020267830489,0.5250000713613915
38.0,10660.570512866747,3126.3566536267613,0.0,8536.927166493508,5250.0,30.354609619283266,30.587510005330035,0.5500020360825338,0.5250001037687989
38.25,9377.7035676009,3125.8874361148537,0.0,7253.591003715754,5250.0,30.356836253824415,30.59112422699104,0.5500020439840491,0.5250001361762063
38.5,9864.866773618041,3125.4184140695174,0.0,7740.285187687559,5250.0,30.359059179611535,30.594735491618245,0.5500020524157323,0.5250001685836138
38.75,10295.604284536477,3124.9495874093254,0.0,8170.553871945802,5250.0,30.36128199741689,30.59834380163099,0.5500020613161177,0.5250002009910212
39.0,9981.877282367941,3124.480956052884,0.0,7856.358238420824,5250.0,30.363504648351476,30.60194915944664,0.5500020698742422,0.5250002333984286
39.25,9898.431335646592,3124.0125199188337,0.0,7772.443855565425,5250.0,30.365725580992024,30.60555156748059,0.5500020783409566,0.525000265805836
39.5,10215.553006307053,3123.5442789258486,0.0,8089.097285232901,5250.0,30.367945282454183,30.609151028146243,0.5500020871526095,0.5250002982132435
39.75,9557.76076123628,3123.0762329926374,0.0,7430.836994228917,5250.0,30.370164580458415,30.61274754385504,0.5500020952472031,0.5250003306206509
40.0,-522.1329153247403,3122.6083820379413,0.0,1170.2139600209402,1430.2615066922608,30.372381485240716,30.616341117016447,0.550002096521946,0.5250003394494256
40.25,-555.5867648722635,3122.1407259805364,0.0,1154.9492824987228,1411.6046786095503,30.374590300175985,30.61992804411031,0.5500020977800607,0.5250003481630348
40.5,-13.155355284302004,3121.6732647392328,0.0,1398.8330592547186,1709.6848502002122,30.37679805627073,30.623512028749346,0.550002099303844,0.525000358716645
40.75,-1248.561283567108,3121.205998232874,0.0,842.6901215995947,1029.9545930661716,30.37900483999962,30.627093216170564,0.5500021002218072,0.5250003650743894
41.0,-21.46790556974679,3120.738926380337,0.0,1394.6719593647654,1704.5990614458246,30.381210407698074,30.630671203065898,0.5500021017410577,0.5250003755966058
41.25,-1742.0145444249515,3120.272049100533,0.0,620.2158771040116,758.0416275715698,30.383415084018377,30.63424653047072,0.5500021024166741,0.5250003802758751
41.5,-4649.471393210169,3119.8053663124074,0.0,0.0,-1529.6660268977612,30.385618504326697,30.637818594043694,0.5500021024166741,0.5250003708334923
41.75,-2964.135780985754,3119.338877934938,0.0,69.84139362713273,85.36170332205114,30.387820822767814,30.64138799141731,0.550002102492754,0.5250003713604163
42.0,-1606.8989755628172,3118.872583887138,0.0,680.3881237459442,831.5854845783764,30.39002209073942,30.644954129573616,0.5500021032339176,0.52500037649366
42.25,-3242.1635736633716,3118.406484088053,0.0,0.0,-123.75708957531879,30.392222367925406,30.648517449368068,0.5500021032339176,0.5250003757297274
42.5,-3885.8008470280147,3117.9405784567634,0.0,0.0,-767.8602685712513,30.394421534522532,30.652077755497796,0.5500021032339176,0.5250003709898492
